property_id,district,area_m2,bedrooms,listing_price,listing_ppm,source,expert_1_low,expert_1_mid,expert_1_high,expert_1_conf,expert_1_comment,expert_2_low,expert_2_mid,expert_2_high,expert_2_conf,expert_2_comment,expert_3_low,expert_3_mid,expert_3_high,expert_3_conf,expert_3_comment
25,Quận Cầu Giấy,124.0,3,17500000000,141129032,alonhadat.com.vn,76500000,90000000,108000000,0.87,"Cầu Giấy 124m2 3BR premium, excellent location",73000000,86000000,103000000,0.79,Cầu Giấy 124m2 3BR comparable to 123.8m2,69000000,83000000,100000000,0.66,Cầu Giấy 124m2 comparable to 123.8m2
26,Quận Cầu Giấy,126.0,3,12000000000,95238095,alonhadat.com.vn,72000000,85000000,102000000,0.86,"Cầu Giấy 126m2 3BR, largest standard, top project",70000000,82000000,99000000,0.78,"Cầu Giấy 126m2 3BR, largest standard, strong demand",66000000,80000000,97000000,0.65,"Cầu Giấy 126m2, largest standard, good demand"
2600,Quận Cầu Giấy,82.0,3,6560000000,80000000,estimated,72000000,85000000,102000000,0.86,"Cầu Giấy 82m2 3BR, compact 3BR, high liquidity",68000000,80000000,96000000,0.77,"Cầu Giấy 82m2 3BR, popular compact 3BR",64000000,77000000,93000000,0.65,"Cầu Giấy 82m2 3BR, compact 3BR, moderate data"
2669,Quận Cầu Giấy,82.0,3,6560000000,80000000,estimated,72000000,85000000,102000000,0.86,"Cầu Giấy 82m2 3BR, compact 3BR, high liquidity",68000000,80000000,96000000,0.77,"Cầu Giấy 82m2 3BR, popular compact 3BR",64000000,77000000,93000000,0.65,"Cầu Giấy 82m2 3BR, compact 3BR, moderate data"
39,Quận Cầu Giấy,85.0,3,6630000000,78000000,estimated,70000000,83000000,99600000,0.85,"Cầu Giấy 85m2 3BR, standard 3BR, metro access",66000000,78000000,94000000,0.76,"Cầu Giấy 85m2 3BR, standard 3BR, metro-adjacent",62000000,75000000,91000000,0.64,"Cầu Giấy 85m2 3BR, standard, moderate coverage"
27,Quận Cầu Giấy,86.0,3,6708000000,78000000,estimated,70000000,83000000,99600000,0.85,"Cầu Giấy 86m2 3BR, standard 3BR, good project",66000000,78000000,94000000,0.76,"Cầu Giấy 86m2 3BR, similar to 85m2",62000000,75000000,91000000,0.64,"Cầu Giấy 86m2 3BR, similar to 85m2"
33,Quận Cầu Giấy,60.0,3,5220000000,87000000,estimated,78000000,90000000,108000000,0.82,"Cầu Giấy 60m2 3BR compact, rare format, strong demand",74000000,87000000,104000000,0.75,"Cầu Giấy 60m2 3BR rare, strong demand, high price per m2",70000000,84000000,101000000,0.63,"Cầu Giấy 60m2 3BR rare, limited data"
3422,Quận Thanh Xuân,90.0,3,7020000000,78000000,estimated,70000000,82000000,98000000,0.87,"Đống Đa 90m2 3BR, central premium, prime location",66000000,78000000,94000000,0.82,"Đống Đa 90m2 3BR, central premium, high demand",62000000,74000000,90000000,0.72,"Đống Đa 90m2 3BR central, good market data"
3314,Quận Thanh Xuân,92.0,3,6164000000,67000000,estimated,60000000,71000000,85000000,0.84,"Thanh Xuân 92m2 3BR, mid-range, stable market",57000000,67000000,81000000,0.79,"Thanh Xuân 92m2 3BR, standard, lower than 90m2",54000000,64000000,78000000,0.68,"Thanh Xuân 92m2 3BR, similar pricing pattern"
3415,Quận Thanh Xuân,92.0,3,6164000000,67000000,estimated,60000000,71000000,85000000,0.84,"Thanh Xuân 92m2 3BR, mid-range, stable market",57000000,67000000,81000000,0.79,"Thanh Xuân 92m2 3BR, standard, lower than 90m2",54000000,64000000,78000000,0.68,"Thanh Xuân 92m2 3BR, similar pricing pattern"
3292,Quận Thanh Xuân,95.0,3,6270000000,66000000,estimated,59500000,70000000,84000000,0.84,"Thanh Xuân 95m2 3BR, slightly larger, moderate premium",56500000,66000000,80000000,0.79,"Thanh Xuân 95m2 3BR, slightly larger, stable",53000000,63000000,76000000,0.67,"Thanh Xuân 95m2 3BR, slightly larger, stable"
3324,Quận Thanh Xuân,120.0,2,7200000000,60000000,estimated,54000000,64000000,77000000,0.83,"Thanh Xuân 120m2 2BR, large 2BR, spacious mid-market",51000000,60000000,72000000,0.78,"Thanh Xuân 120m2 2BR, large, below 70M threshold",48000000,57000000,69000000,0.67,"Thanh Xuân 120m2 2BR, large, good data"
3255,Quận Thanh Xuân,121.0,2,7260000000,60000000,estimated,54000000,64000000,77000000,0.82,"Thanh Xuân 121m2 2BR, large 2BR, similar to 120m2",51000000,60000000,72000000,0.78,"Thanh Xuân 121m2 2BR, similar to 120m2",48000000,57000000,69000000,0.67,"Thanh Xuân 121m2 2BR, similar to 120m2"
61,Quận Thanh Xuân,129.0,2,7611000000,59000000,estimated,53500000,63000000,76000000,0.82,"Thanh Xuân 129m2 2BR, very spacious, lower ppm for size",50000000,59000000,71000000,0.78,"Thanh Xuân 129m2 2BR, very spacious, lower ppm",47000000,56000000,68000000,0.66,"Thanh Xuân 129m2 2BR, very large, lower ppm"
3325,Quận Thanh Xuân,129.0,2,7611000000,59000000,estimated,53500000,63000000,76000000,0.82,"Thanh Xuân 129m2 2BR, very spacious, lower ppm for size",50000000,59000000,71000000,0.78,"Thanh Xuân 129m2 2BR, very spacious, lower ppm",47000000,56000000,68000000,0.66,"Thanh Xuân 129m2 2BR, very large, lower ppm"
3302,Quận Thanh Xuân,90.0,2,5940000000,66000000,estimated,59500000,70000000,84000000,0.83,"Thanh Xuân 90m2 2BR, popular format, good liquidity",56500000,66000000,80000000,0.79,"Thanh Xuân 90m2 2BR, popular format, active market",53000000,63000000,76000000,0.68,"Thanh Xuân 90m2 2BR, popular format, good data"
3371,Quận Thanh Xuân,90.0,2,5940000000,66000000,estimated,59500000,70000000,84000000,0.83,"Thanh Xuân 90m2 2BR, popular format, good liquidity",56500000,66000000,80000000,0.79,"Thanh Xuân 90m2 2BR, popular format, active market",53000000,63000000,76000000,0.68,"Thanh Xuân 90m2 2BR, popular format, good data"
3079,Quận Thanh Xuân,92.0,2,5980000000,65000000,estimated,58500000,69000000,83000000,0.83,"Thanh Xuân 92m2 2BR, standard 2BR, stable pricing",55500000,65000000,78000000,0.79,"Thanh Xuân 92m2 2BR, standard 2BR",52000000,62000000,75000000,0.68,"Thanh Xuân 92m2 2BR, standard 2BR"
70,Quận Thanh Xuân,93.0,2,6045000000,65000000,estimated,58500000,69000000,83000000,0.82,"Thanh Xuân 93m2 2BR, slight size premium",55500000,65000000,78000000,0.78,"Thanh Xuân 93m2 2BR, marginal size difference",52000000,62000000,75000000,0.67,"Thanh Xuân 93m2 2BR, marginal size diff"
3081,Quận Thanh Xuân,70.0,3,5250000000,75000000,estimated,68000000,80000000,96000000,0.84,"Đống Đa 70m2 3BR compact, rare compact 3BR, high demand",64000000,75000000,90000000,0.79,"Đống Đa 70m2 3BR compact, rare format, good demand",60000000,72000000,88000000,0.70,"Đống Đa 70m2 3BR compact rare, moderate data"
3389,Quận Thanh Xuân,78.0,3,5538000000,71000000,estimated,64000000,76000000,91000000,0.82,"Thanh Xuân 78m2 3BR, compact 3BR, good value",60500000,71000000,86000000,0.77,"Thanh Xuân 78m2 3BR, compact 3BR, moderate premium",56000000,67000000,82000000,0.65,"Thanh Xuân 78m2 3BR, compact 3BR, moderate coverage"
65,Quận Thanh Xuân,80.0,3,5600000000,70000000,estimated,63500000,75000000,90000000,0.82,"Thanh Xuân 80m2 3BR, standard compact 3BR",59000000,70000000,84000000,0.76,"Thanh Xuân 80m2 3BR, standard compact 3BR",55000000,66000000,80000000,0.65,"Thanh Xuân 80m2 3BR, standard compact, average data"
3298,Quận Thanh Xuân,80.0,3,5600000000,70000000,estimated,63500000,75000000,90000000,0.82,"Thanh Xuân 80m2 3BR, standard compact 3BR",59000000,70000000,84000000,0.76,"Thanh Xuân 80m2 3BR, standard compact 3BR",55000000,66000000,80000000,0.65,"Thanh Xuân 80m2 3BR, standard compact, average data"
3369,Quận Thanh Xuân,70.0,2,4970000000,71000000,estimated,64500000,76000000,91000000,0.81,"Thanh Xuân 70m2 2BR, small 2BR, metro proximity",60000000,71000000,85000000,0.76,"Thanh Xuân 70m2 2BR, small 2BR, metro effect",56000000,67000000,82000000,0.64,"Thanh Xuân 70m2 2BR, small, metro effect, moderate data"
3407,Quận Thanh Xuân,71.0,2,4970000000,70000000,estimated,63500000,75000000,90000000,0.81,"Thanh Xuân 71m2 2BR, similar market to 70m2",59000000,70000000,84000000,0.76,"Thanh Xuân 71m2 2BR, similar to 70m2",55000000,66000000,80000000,0.64,"Thanh Xuân 71m2 2BR, similar to 70m2"
3439,Quận Thanh Xuân,72.0,2,4968000000,69000000,estimated,62500000,74000000,89000000,0.81,"Thanh Xuân 72m2 2BR, small 2BR, stable pricing",58000000,69000000,83000000,0.75,"Thanh Xuân 72m2 2BR, slight size increase lowers ppm",54000000,65000000,79000000,0.64,"Thanh Xuân 72m2 2BR, slight size increase lowers ppm"
3096,Quận Thanh Xuân,73.0,2,4964000000,68000000,estimated,62000000,73000000,88000000,0.81,"Thanh Xuân 73m2 2BR, marginal difference from 72m2",57500000,68000000,82000000,0.75,"Thanh Xuân 73m2 2BR, marginal difference",53000000,64000000,78000000,0.63,"Thanh Xuân 73m2 2BR, marginal difference"
60,Quận Thanh Xuân,115.0,3,8510000000,74000000,estimated,66500000,78000000,94000000,0.86,"Đống Đa 115m2 3BR, large central, good liquidity",62500000,74000000,89000000,0.81,"Đống Đa 115m2 3BR, large central, good liquidity",58000000,70000000,85000000,0.71,"Đống Đa 115m2 3BR, large central, moderate data"
89,Quận Đống Đa,90.0,3,9750000000,108333333,alonhadat.com.vn,70000000,82000000,98000000,0.87,"Đống Đa 90m2 3BR, central premium, prime location",66000000,78000000,94000000,0.82,"Đống Đa 90m2 3BR, central premium, high demand",62000000,74000000,90000000,0.72,"Đống Đa 90m2 3BR central, good market data"
114,Quận Đống Đa,115.0,3,12300000000,106956522,alonhadat.com.vn,66500000,78000000,94000000,0.86,"Đống Đa 115m2 3BR, large central, good liquidity",62500000,74000000,89000000,0.81,"Đống Đa 115m2 3BR, large central, good liquidity",58000000,70000000,85000000,0.71,"Đống Đa 115m2 3BR, large central, moderate data"
115,Quận Đống Đa,115.0,3,11500000000,100000000,alonhadat.com.vn,66500000,78000000,94000000,0.86,"Đống Đa 115m2 3BR, large central, good liquidity",62500000,74000000,89000000,0.81,"Đống Đa 115m2 3BR, large central, good liquidity",58000000,70000000,85000000,0.71,"Đống Đa 115m2 3BR, large central, moderate data"
98,Quận Đống Đa,131.0,3,9170000000,70000000,estimated,63000000,74000000,89000000,0.85,"Đống Đa 131m2 3BR, largest in district, value play",59000000,70000000,84000000,0.80,"Đống Đa 131m2 3BR, largest, good value at this price",55000000,66000000,80000000,0.70,"Đống Đa 131m2 3BR, largest, limited large-format data"
3449,Quận Đống Đa,46.0,2,3680000000,80000000,estimated,72000000,85000000,102000000,0.82,"Đống Đa 46m2 tiny, rare small format, central premium",68000000,80000000,96000000,0.78,"Đống Đa 46m2 tiny, limited supply, central premium",64000000,77000000,94000000,0.68,"Đống Đa 46m2 tiny, limited data but high demand"
3448,Quận Đống Đa,50.0,2,3950000000,79000000,estimated,71000000,84000000,101000000,0.83,"Đống Đa 50m2 2BR, small central, strong demand",67000000,79000000,95000000,0.79,"Đống Đa 50m2 2BR, small central, active market",63000000,76000000,92000000,0.69,"Đống Đa 50m2 2BR, small central, moderate data"
2703,Quận Đống Đa,52.0,2,4056000000,78000000,estimated,70000000,83000000,100000000,0.82,"Đống Đa 52m2 2BR, small central, comparable to 50m2",66000000,78000000,94000000,0.78,"Đống Đa 52m2 2BR, small central, comparable to 50m2",62000000,75000000,91000000,0.68,"Đống Đa 52m2 2BR, similar to 50m2"
111,Quận Đống Đa,60.0,2,4560000000,76000000,estimated,69000000,81000000,97000000,0.82,"Đống Đa 60m2 2BR, standard small 2BR",64500000,76000000,91000000,0.78,"Đống Đa 60m2 2BR, standard small 2BR",60000000,73000000,89000000,0.68,"Đống Đa 60m2 2BR, standard small 2BR"
100,Quận Đống Đa,80.0,2,5920000000,74000000,estimated,67000000,79000000,95000000,0.83,"Đống Đa 80m2 2BR, standard 2BR, central location",63000000,74000000,89000000,0.79,"Đống Đa 80m2 2BR, standard 2BR, central location",58000000,71000000,86000000,0.69,"Đống Đa 80m2 2BR, standard 2BR, good central market"
102,Quận Đống Đa,70.0,3,5250000000,75000000,estimated,68000000,80000000,96000000,0.84,"Đống Đa 70m2 3BR compact, rare compact 3BR, high demand",64000000,75000000,90000000,0.79,"Đống Đa 70m2 3BR compact, rare format, good demand",60000000,72000000,88000000,0.70,"Đống Đa 70m2 3BR compact rare, moderate data"
110,Quận Đống Đa,70.0,3,5250000000,75000000,estimated,68000000,80000000,96000000,0.84,"Đống Đa 70m2 3BR compact, rare compact 3BR, high demand",64000000,75000000,90000000,0.79,"Đống Đa 70m2 3BR compact, rare format, good demand",60000000,72000000,88000000,0.70,"Đống Đa 70m2 3BR compact rare, moderate data"
34,Quận Cầu Giấy,60.0,3,5220000000,87000000,estimated,78000000,90000000,108000000,0.82,"Cầu Giấy 60m2 3BR compact, rare format, strong demand",74000000,87000000,104000000,0.75,"Cầu Giấy 60m2 3BR rare, strong demand, high price per m2",70000000,84000000,101000000,0.63,"Cầu Giấy 60m2 3BR rare, limited data"
